instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
ignore all sounds,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S162.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S47.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S175.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S88.wav,How well were you able to ignore all sounds?,1.64718820861678,1.9221315192743764,1.8494784580498866,1.6389115646258503
listen to self,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_3.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_393.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_92.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_58.wav,How well were you able to attend to your voice?,2.682199546485261,2.1785714285714284,2.084331065759637,2.0886621315192744
ignore all sounds,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S140.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S21.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S206.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/R33_Other_Female\JO_S277.wav,How well were you able to ignore all sounds?,1.8909977324263039,1.8895691609977325,2.166780045351474,2.1993877551020407
listen to self,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_332.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_197.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_298.wav,C:\Users\rtsz_stim\Desktop\R33_rtsz/stimulus/audio/999\999_360.wav,How well were you able to attend to your voice?,2.262517006802721,2.0421541950113378,1.9360544217687075,2.3626757369614513
