instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S299.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S241.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S59.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S7.wav,How well were you able to ignore all sounds?,1.4508390022675737,1.4016553287981859,1.7111337868480725,1.7249433106575964
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_79.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_348.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_201.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_205.wav,How well were you able to attend to your voice?,2.141020408163265,2.137097505668934,1.8719727891156464,2.2174603174603176
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S224.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S29.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S146.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S209.wav,How well were you able to ignore all sounds?,1.4842403628117913,1.9926757369614512,2.118843537414966,1.9029024943310657
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_140.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_16.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_125.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_266.wav,How well were you able to attend to your voice?,1.7040362811791383,2.3127437641723354,1.6161904761904762,1.8312698412698414
