instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_217.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_154.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_34.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_339.wav,How well were you able to attend to your voice?,2.008458049886621,2.341519274376417,2.322199546485261,1.8877777777777778
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S392.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S357.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S187.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S330.wav,How well were you able to ignore all sounds?,1.8249433106575963,2.006621315192744,2.1087528344671203,1.485578231292517
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S72.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S374.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S150.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S328.wav,How well were you able to ignore all sounds?,1.8580725623582766,1.6629705215419501,1.768798185941043,1.7568934240362812
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_155.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_213.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_189.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_385.wav,How well were you able to attend to your voice?,2.128639455782313,2.041360544217687,2.0465986394557825,2.397981859410431
