instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_48.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_384.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_393.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_197.wav,How well were you able to attend to your voice?,2.037732426303855,2.2416099773242633,2.1785714285714284,2.0421541950113378
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S3.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S19.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S372.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S270.wav,How well were you able to ignore all sounds?,2.142199546485261,2.5049886621315194,1.4795918367346939,1.5068027210884354
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S11.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S107.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S73.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S257.wav,How well were you able to ignore all sounds?,2.206598639455782,1.7448526077097506,2.255827664399093,1.8242630385487528
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_366.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_292.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_343.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_332.wav,How well were you able to attend to your voice?,1.9813378684807257,1.9037868480725624,2.457687074829932,2.262517006802721
