instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S220.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S358.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S83.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S300.wav,How well were you able to ignore all sounds?,1.364829931972789,1.6152607709750566,2.0643990929705214,2.1291836734693876
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S179.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S82.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S110.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S379.wav,How well were you able to ignore all sounds?,1.7105442176870749,1.959501133786848,1.2750566893424036,1.736575963718821
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_191.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_147.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_387.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_216.wav,How well were you able to attend to your voice?,2.382517006802721,2.9801133786848073,2.7629251700680273,2.403560090702948
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_350.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_227.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_78.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_129.wav,How well were you able to attend to your voice?,1.830657596371882,1.9589342403628118,2.5692290249433105,2.0942403628117914
