instruction_text,voice_file1,voice_file2,voice_file3,voice_file4,question,voice_file1_duration,voice_file2_duration,voice_file3_duration,voice_file4_duration
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S320.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S221.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S126.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S58.wav,How well were you able to ignore all sounds?,1.664421768707483,1.9931746031746032,1.8943537414965987,1.7513832199546486
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_25.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_253.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_349.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_359.wav,How well were you able to attend to your voice?,2.0755555555555554,1.6383446712018142,2.065873015873016,2.095918367346939
ignore all sounds,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S89.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S373.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S304.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/R61_Other_Female\JO_S37.wav,How well were you able to ignore all sounds?,1.5698639455782313,1.4479365079365079,1.5279591836734694,2.0092290249433105
listen to self,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_238.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_165.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_96.wav,C:/Users/etusu/OneDrive/Documents/PEN Lab Folder/R61_rtsz/R61_rtsz/stimulus/audio/999\999_99.wav,How well were you able to attend to your voice?,2.3757369614512474,1.8938548752834468,2.7539455782312925,2.1304081632653062
